Campaign_ID,Campaign_Name,Start_Date,End_Date,Budget,Target_Audience,Region,Status,Created_At
CMP_8cd272e0-909e-4060-8425-07646bc9947a,New Year Bedroom Refresh,2021-12-24,2022-01-17,49000,All Customers,Nation Wide,Completed,2021-01-01
CMP_4414ca7c-96be-41c3-8abf-5f788ee24acb,Valentine Bedding Bundle,2021-01-24,2021-02-17,33000,Couples,Nation Wide,Completed,2021-01-01
CMP_e09a37d7-f785-4c88-8dc0-0154cd00057b,Summer Mattress Sale,2021-02-24,2021-03-17,33000,Families,Nation Wide,Completed,2021-01-01
CMP_182efaac-cf0d-4b57-8320-8fadac30337b,Happy Songkran,2021-03-24,2021-04-17,33000,All Customers,Nation Wide,Completed,2021-01-01
CMP_28ad5da1-78b4-4cbd-85cd-a50a91fd87f0,Mid-Year Mega Discount,2021-04-24,2021-05-17,33000,Budget Shoppers,Nation Wide,Completed,2021-01-01
CMP_13fac390-fef6-4507-9487-3d53d69cdc90,Free Shipping Month,2021-05-24,2021-06-17,66000,Existing Customers,Nation Wide,Completed,2021-01-01
CMP_56a3be19-a18b-4f33-aafd-36339294bf53,Rainy Season Bedding Deals,2021-06-24,2021-07-17,66000,Existing Customers,Nation Wide,Completed,2021-01-01
CMP_06ac42b9-dcb1-490c-8b23-51f30fe938ef,Sleep Better Campaign,2021-07-24,2021-08-17,66000,All Customers,Nation Wide,Completed,2021-01-01
CMP_ccc4567d-a235-40fb-a2b7-edb9a44ca1ff,Back to School Home Essentials,2021-08-24,2021-09-17,66000,Students,Nation Wide,Completed,2021-01-01
CMP_28cec512-94d0-4f4a-9cd5-f0882a3a1820,10.10 Flash Sale,2021-09-24,2021-10-17,49000,Budget Shoppers,Nation Wide,Completed,2021-01-01
CMP_ba3ae8a2-2822-42f0-9d6a-a5ed9b1ee036,11.11 Mega Sale,2021-10-24,2021-11-17,49000,All Customers,Nation Wide,Completed,2021-01-01
CMP_acd024c0-be5a-4728-bb98-da00695b808e,Holiday Bundle Promotion,2021-11-24,2021-12-17,49000,New Homeowners,Nation Wide,Completed,2021-01-01
CMP_1e64a487-b687-44da-aa6b-556fc7b41dde,New Year Bedroom Refresh,2022-12-24,2023-01-17,49000,All Customers,Nation Wide,Completed,2022-01-01
CMP_27a04800-f37b-4c5a-9dd4-d99dac80729b,Valentine Bedding Bundle,2022-01-24,2022-02-17,33000,Couples,Nation Wide,Completed,2022-01-01
CMP_6ee75b1e-1178-4e38-b686-bd28ca80fae5,Summer Mattress Sale,2022-02-24,2022-03-17,33000,Families,Nation Wide,Completed,2022-01-01
CMP_45de4bf8-0900-4b1f-a945-b5415cc3f97d,Happy Songkran,2022-03-24,2022-04-17,33000,All Customers,Nation Wide,Completed,2022-01-01
CMP_2df5c552-b05a-4ccb-aa05-1f5fe88049a9,Mid-Year Mega Discount,2022-04-24,2022-05-17,33000,Budget Shoppers,Nation Wide,Completed,2022-01-01
CMP_f6cbaf6d-2def-4c04-9821-b2ef3837fd39,Free Shipping Month,2022-05-24,2022-06-17,66000,Existing Customers,Nation Wide,Completed,2022-01-01
CMP_2449e4a8-9bb0-4bbb-9f86-62293a4718d7,Rainy Season Bedding Deals,2022-06-24,2022-07-17,66000,Existing Customers,Nation Wide,Completed,2022-01-01
CMP_6141faab-01bd-4e02-8862-534c7b24897f,Sleep Better Campaign,2022-07-24,2022-08-17,66000,All Customers,Nation Wide,Completed,2022-01-01
CMP_4a29a251-495a-4724-9e1c-07dfa74224c7,Back to School Home Essentials,2022-08-24,2022-09-17,66000,Students,Nation Wide,Completed,2022-01-01
