Campaign_ID,Objective_ID
CMP_8cd272e0-909e-4060-8425-07646bc9947a,OBJ_4414
CMP_e09a37d7-f785-4c88-8dc0-0154cd00057b,OBJ_4414
CMP_28ad5da1-78b4-4cbd-85cd-a50a91fd87f0,OBJ_4414
CMP_28cec512-94d0-4f4a-9cd5-f0882a3a1820,OBJ_4414
CMP_ba3ae8a2-2822-42f0-9d6a-a5ed9b1ee036,OBJ_4414
CMP_1e64a487-b687-44da-aa6b-556fc7b41dde,OBJ_8cd2
CMP_1e64a487-b687-44da-aa6b-556fc7b41dde,OBJ_4414
CMP_27a04800-f37b-4c5a-9dd4-d99dac80729b,OBJ_8cd2
CMP_6ee75b1e-1178-4e38-b686-bd28ca80fae5,OBJ_8cd2
CMP_6ee75b1e-1178-4e38-b686-bd28ca80fae5,OBJ_4414
CMP_45de4bf8-0900-4b1f-a945-b5415cc3f97d,OBJ_8cd2
CMP_2df5c552-b05a-4ccb-aa05-1f5fe88049a9,OBJ_8cd2
CMP_2df5c552-b05a-4ccb-aa05-1f5fe88049a9,OBJ_4414
CMP_f6cbaf6d-2def-4c04-9821-b2ef3837fd39,OBJ_8cd2
CMP_2449e4a8-9bb0-4bbb-9f86-62293a4718d7,OBJ_8cd2
CMP_6141faab-01bd-4e02-8862-534c7b24897f,OBJ_8cd2
CMP_4a29a251-495a-4724-9e1c-07dfa74224c7,OBJ_8cd2
CMP_c645e850-ff9f-4fbd-a9bc-c96d497f0599,OBJ_8cd2
CMP_c645e850-ff9f-4fbd-a9bc-c96d497f0599,OBJ_4414
CMP_d278948a-e037-4b8c-995d-63a7e75ca25b,OBJ_8cd2
CMP_d278948a-e037-4b8c-995d-63a7e75ca25b,OBJ_4414
CMP_87ca8fd0-91c4-4afe-a6f5-d812e38e9c35,OBJ_8cd2
CMP_23973884-6078-4964-9825-0aaf0e4b03a1,OBJ_8cd2
CMP_23973884-6078-4964-9825-0aaf0e4b03a1,OBJ_4414
CMP_4e8b8809-ee3c-4c69-9a04-a65f9b8a3f86,OBJ_8cd2
CMP_17f531cf-129c-4abd-b4c7-b11053a1bc88,OBJ_8cd2
CMP_17f531cf-129c-4abd-b4c7-b11053a1bc88,OBJ_4414
CMP_e8c93f0c-b776-426c-8cee-f664f45eb3f2,OBJ_8cd2
CMP_2724972a-7d59-484e-bec3-edced6c94487,OBJ_8cd2
CMP_2724972a-7d59-484e-bec3-edced6c94487,OBJ_4414
CMP_e207fb5c-51ea-4f29-ba1a-5ab84bffe7d1,OBJ_8cd2
CMP_e207fb5c-51ea-4f29-ba1a-5ab84bffe7d1,OBJ_182e
CMP_3807e480-5df0-4383-8041-b6f9239de088,OBJ_8cd2
CMP_3807e480-5df0-4383-8041-b6f9239de088,OBJ_182e
CMP_f4063608-f6a4-4c2b-8c18-1d838ffd6333,OBJ_8cd2
CMP_d3de81f0-7c72-4111-988a-7f20f67da774,OBJ_8cd2
CMP_51449e66-f667-4ef5-af52-e42936f29cb7,OBJ_8cd2
CMP_51449e66-f667-4ef5-af52-e42936f29cb7,OBJ_4414
CMP_239e830b-12c4-4b99-8b93-5a7d02389e90,OBJ_8cd2
CMP_239e830b-12c4-4b99-8b93-5a7d02389e90,OBJ_4414
CMP_5ab8e4e6-99d9-453c-8c6a-b934ad40275b,OBJ_8cd2
CMP_18f87654-aeb2-4992-bc82-7db3fb91178e,OBJ_8cd2
CMP_18f87654-aeb2-4992-bc82-7db3fb91178e,OBJ_4414
CMP_2f243680-e1c2-4125-9707-9332cfcb2a53,OBJ_8cd2
CMP_2f243680-e1c2-4125-9707-9332cfcb2a53,OBJ_28ad
CMP_d846d9d8-e298-4264-b21a-bdc9f3f00e16,OBJ_8cd2
CMP_d846d9d8-e298-4264-b21a-bdc9f3f00e16,OBJ_4414
CMP_8a26e09f-a3e8-4276-95ee-13a581f55632,OBJ_8cd2
CMP_8a26e09f-a3e8-4276-95ee-13a581f55632,OBJ_13fa
CMP_b097318b-064e-4e26-9a9e-2f82c4e9258d,OBJ_8cd2
CMP_b097318b-064e-4e26-9a9e-2f82c4e9258d,OBJ_4414
CMP_67d14a81-68b2-4af1-9a80-c8098652e61d,OBJ_8cd2
CMP_67d14a81-68b2-4af1-9a80-c8098652e61d,OBJ_182e
CMP_aa0fd228-31bd-498c-8c79-4beec9b813fe,OBJ_8cd2
CMP_aa0fd228-31bd-498c-8c79-4beec9b813fe,OBJ_182e
CMP_5d3da4b2-38f4-4641-a1b9-ceacd616be93,OBJ_8cd2
CMP_5d3da4b2-38f4-4641-a1b9-ceacd616be93,OBJ_13fa
CMP_f73236d8-8ce8-4914-aa38-f8c1761eb394,OBJ_8cd2
CMP_f73236d8-8ce8-4914-aa38-f8c1761eb394,OBJ_28ad
CMP_3481ae00-b8a3-42b1-abe8-73c24ff7939c,OBJ_8cd2
CMP_3481ae00-b8a3-42b1-abe8-73c24ff7939c,OBJ_4414
CMP_f0781573-fde2-46ac-a427-1593cd826f97,OBJ_8cd2
CMP_f0781573-fde2-46ac-a427-1593cd826f97,OBJ_4414
CMP_b22a1463-ec5d-4571-bf94-6ffe68a1a3fc,OBJ_8cd2
CMP_b22a1463-ec5d-4571-bf94-6ffe68a1a3fc,OBJ_28ad
CMP_8a5d1c4b-cc98-451a-a439-d86498f5a5d7,OBJ_8cd2
CMP_8a5d1c4b-cc98-451a-a439-d86498f5a5d7,OBJ_4414
CMP_115c61c0-73d2-47c8-9574-7a112de64209,OBJ_8cd2
CMP_115c61c0-73d2-47c8-9574-7a112de64209,OBJ_28ad
CMP_56acd112-a311-445a-8b0a-3770c326d135,OBJ_8cd2
CMP_56acd112-a311-445a-8b0a-3770c326d135,OBJ_4414
CMP_3076c13b-96e5-4858-93f3-eef42f6a8d8e,OBJ_8cd2
CMP_3076c13b-96e5-4858-93f3-eef42f6a8d8e,OBJ_13fa
CMP_662f369a-d94a-42d7-85a6-9e32c4be2c7f,OBJ_8cd2
CMP_662f369a-d94a-42d7-85a6-9e32c4be2c7f,OBJ_4414
CMP_a442d18b-176b-44fd-899b-723d09ba5858,OBJ_8cd2
CMP_a442d18b-176b-44fd-899b-723d09ba5858,OBJ_182e
CMP_30508d0e-00e6-4560-a624-db3e4e734633,OBJ_8cd2
CMP_30508d0e-00e6-4560-a624-db3e4e734633,OBJ_182e
CMP_31e638c0-cf96-4202-b68e-bc74de6e3037,OBJ_8cd2
CMP_31e638c0-cf96-4202-b68e-bc74de6e3037,OBJ_13fa
CMP_21df41c6-8fc2-4089-b0ea-2a57c90a3dcd,OBJ_8cd2
CMP_21df41c6-8fc2-4089-b0ea-2a57c90a3dcd,OBJ_28ad
CMP_98d4835f-763d-4475-a935-5f28513b6eff,OBJ_8cd2
CMP_98d4835f-763d-4475-a935-5f28513b6eff,OBJ_4414
CMP_98d4835f-763d-4475-a935-5f28513b6eff,OBJ_e09a
CMP_d1d699cd-d1d7-4cf7-ad2e-6dc211a55d13,OBJ_8cd2
CMP_d1d699cd-d1d7-4cf7-ad2e-6dc211a55d13,OBJ_4414
CMP_b87f989b-bfc1-4323-af78-8fa334478825,OBJ_8cd2
CMP_b87f989b-bfc1-4323-af78-8fa334478825,OBJ_28ad
CMP_f3ad3617-2867-44ae-b15a-5f2556261fca,OBJ_8cd2
CMP_f3ad3617-2867-44ae-b15a-5f2556261fca,OBJ_28ad
CMP_cfd70e82-4fe9-4a11-a470-0f7962024c48,OBJ_8cd2
CMP_cfd70e82-4fe9-4a11-a470-0f7962024c48,OBJ_4414
CMP_82d771fc-09a3-441c-9de0-9fd1f0da6a60,OBJ_8cd2
CMP_82d771fc-09a3-441c-9de0-9fd1f0da6a60,OBJ_13fa
CMP_9ebb6837-6c9f-4f9e-8cf8-8e705a58949d,OBJ_8cd2
CMP_9ebb6837-6c9f-4f9e-8cf8-8e705a58949d,OBJ_4414
CMP_9781a84a-027f-43bc-8cdb-aa5c8286aec3,OBJ_8cd2
CMP_9781a84a-027f-43bc-8cdb-aa5c8286aec3,OBJ_182e
