Product_ID,Product_Name,Sub_Category_ID,Size,Weight_lbs,Color,Price,Manufacturer_ID,Created_At
MatFoa_8cd2,Foam Mattress Color Single,SUBCAT_8cd2,Single,40.0,Color,3500.0,MFG_8cd2,2021-01-01
MatFoa_4414,Foam Mattress Pattern Single,SUBCAT_8cd2,Single,40.0,Pattern,3500.0,MFG_8cd2,2021-01-01
MatFoa_e09a,Foam Mattress Color Queen,SUBCAT_8cd2,Queen,60.0,Color,5500.0,MFG_8cd2,2021-01-01
MatFoa_182e,Foam Mattress Pattern Queen,SUBCAT_8cd2,Queen,60.0,Pattern,5500.0,MFG_8cd2,2021-01-01
MatFoa_28ad,Foam Mattress Color King,SUBCAT_8cd2,King,70.0,Color,7500.0,MFG_8cd2,2021-01-01
MatFoa_13fa,Foam Mattress Pattern King,SUBCAT_8cd2,King,70.0,Pattern,7500.0,MFG_8cd2,2021-01-01
MatSpr_56a3,Spring Mattress Color Single,SUBCAT_4414,Single,50.0,Color,4000.0,MFG_8cd2,2021-01-01
MatSpr_06ac,Spring Mattress Pattern Single,SUBCAT_4414,Single,50.0,Pattern,4000.0,MFG_8cd2,2021-01-01
MatSpr_ccc4,Spring Mattress Color Queen,SUBCAT_4414,Queen,80.0,Color,6000.0,MFG_8cd2,2021-01-01
MatSpr_28ce,Spring Mattress Pattern Queen,SUBCAT_4414,Queen,80.0,Pattern,6000.0,MFG_8cd2,2021-01-01
MatSpr_ba3a,Spring Mattress Color King,SUBCAT_4414,King,90.0,Color,8000.0,MFG_8cd2,2021-01-01
MatSpr_acd0,Spring Mattress Pattern King,SUBCAT_4414,King,90.0,Pattern,8000.0,MFG_8cd2,2021-01-01
MatPoc_1e64,Pocket Spring Mattress Color Single,SUBCAT_e09a,Single,80.0,Color,8500.0,MFG_8cd2,2021-01-01
MatPoc_27a0,Pocket Spring Mattress Pattern Single,SUBCAT_e09a,Single,80.0,Pattern,8500.0,MFG_8cd2,2021-01-01
MatPoc_6ee7,Pocket Spring Mattress Color Queen,SUBCAT_e09a,Queen,100.0,Color,13000.0,MFG_8cd2,2021-01-01
MatPoc_45de,Pocket Spring Mattress Pattern Queen,SUBCAT_e09a,Queen,100.0,Pattern,13000.0,MFG_8cd2,2021-01-01
MatPoc_2df5,Pocket Spring Mattress Color King,SUBCAT_e09a,King,110.0,Color,17500.0,MFG_8cd2,2021-01-01
MatPoc_f6cb,Pocket Spring Mattress Pattern King,SUBCAT_e09a,King,110.0,Pattern,17500.0,MFG_8cd2,2021-01-01
BedCot_2449,Cotton Bedsheet Color Single,SUBCAT_182e,Single,2.0,Color,800.0,MFG_ba3a,2021-01-01
BedCot_6141,Cotton Bedsheet Pattern Single,SUBCAT_182e,Single,2.0,Pattern,800.0,MFG_ba3a,2021-01-01
BedCot_4a29,Cotton Bedsheet Graphic Single,SUBCAT_182e,Single,2.0,Graphic,800.0,MFG_ba3a,2021-01-01
BedCot_c645,Cotton Bedsheet Color Queen,SUBCAT_182e,Queen,3.0,Color,1200.0,MFG_ba3a,2021-01-01
BedCot_d278,Cotton Bedsheet Pattern Queen,SUBCAT_182e,Queen,3.0,Pattern,1200.0,MFG_ba3a,2021-01-01
BedCot_87ca,Cotton Bedsheet Graphic Queen,SUBCAT_182e,Queen,3.0,Graphic,1200.0,MFG_ba3a,2021-01-01
BedCot_2397,Cotton Bedsheet Color King,SUBCAT_182e,King,4.0,Color,1500.0,MFG_ba3a,2021-01-01
BedCot_4e8b,Cotton Bedsheet Pattern King,SUBCAT_182e,King,4.0,Pattern,1500.0,MFG_ba3a,2021-01-01
BedCot_17f5,Cotton Bedsheet Graphic King,SUBCAT_182e,King,4.0,Graphic,1500.0,MFG_ba3a,2021-01-01
BedPol_e8c9,Polyester Bedsheet Color Single,SUBCAT_28ad,Single,1.5,Color,400.0,MFG_ba3a,2021-01-01
BedPol_2724,Polyester Bedsheet Pattern Single,SUBCAT_28ad,Single,1.5,Pattern,400.0,MFG_ba3a,2021-01-01
BedPol_e207,Polyester Bedsheet Graphic Single,SUBCAT_28ad,Single,1.5,Graphic,400.0,MFG_ba3a,2021-01-01
BedPol_3807,Polyester Bedsheet Color Queen,SUBCAT_28ad,Queen,2.2,Color,500.0,MFG_ba3a,2021-01-01
BedPol_f406,Polyester Bedsheet Pattern Queen,SUBCAT_28ad,Queen,2.2,Pattern,500.0,MFG_ba3a,2021-01-01
BedPol_d3de,Polyester Bedsheet Graphic Queen,SUBCAT_28ad,Queen,2.2,Graphic,500.0,MFG_ba3a,2021-01-01
BedPol_5144,Polyester Bedsheet Color King,SUBCAT_28ad,King,3.0,Color,600.0,MFG_ba3a,2021-01-01
BedPol_239e,Polyester Bedsheet Pattern King,SUBCAT_28ad,King,3.0,Pattern,600.0,MFG_ba3a,2021-01-01
