Sub_Category_ID,Sub_Category_Name,Category_ID,Created_At
SUBCAT_8cd2,Foam,PROCAT_8cd2,2021-01-01
SUBCAT_4414,Spring,PROCAT_8cd2,2021-01-01
SUBCAT_e09a,Pocket Spring,PROCAT_8cd2,2021-01-01
SUBCAT_182e,Cotton,PROCAT_4414,2021-01-01
SUBCAT_28ad,Polyester,PROCAT_4414,2021-01-01
SUBCAT_13fa,Linen,PROCAT_4414,2021-01-01
SUBCAT_56a3,Cotton,PROCAT_e09a,2024-01-01
SUBCAT_06ac,Feather,PROCAT_e09a,2024-01-01
SUBCAT_ccc4,Polyester,PROCAT_e09a,2024-01-01
SUBCAT_28ce,Cotton,PROCAT_182e,2024-01-01
SUBCAT_ba3a,Feather,PROCAT_182e,2024-01-01
SUBCAT_acd0,Polyester,PROCAT_182e,2024-01-01
SUBCAT_1e64,Cotton,PROCAT_28ad,2024-01-01
SUBCAT_27a0,Flannel,PROCAT_28ad,2024-01-01
SUBCAT_6ee7,Fleece,PROCAT_28ad,2024-01-01
