Promotion_ID,Campaign_ID,Promotion_Name,Promotion_Type,Promo_Code,Start_Date,End_Date,Created_At
PROMO_8cd2,CMP_8cd272e0-909e-4060-8425-07646bc9947a,New Year Mattress Discount,Percentage Discount,NEWYEAR2021,2021-12-27,2022-01-15,2021-01-01
PROMO_4414,CMP_4414ca7c-96be-41c3-8abf-5f788ee24acb,Couple Bedding Bundle,Bundle Offer,LOVE2021,2021-01-27,2021-02-15,2021-01-01
PROMO_e09a,CMP_e09a37d7-f785-4c88-8dc0-0154cd00057b,Summer Mattress Savings,Percentage Discount,SUMMER2021,2021-02-27,2021-03-15,2021-01-01
PROMO_182e,CMP_182efaac-cf0d-4b57-8320-8fadac30337b,Songkran Free Shipping,Free Shipping,SONGKRAN2021,2021-03-27,2021-04-15,2021-01-01
PROMO_28ad,CMP_28ad5da1-78b4-4cbd-85cd-a50a91fd87f0,Mid-Year Mega Discount,Percentage Discount,MIDYEAR2021,2021-04-27,2021-05-15,2021-01-01
PROMO_13fa,CMP_13fac390-fef6-4507-9487-3d53d69cdc90,Nationwide Free Shipping,Free Shipping,FREESHIP2021,2021-05-27,2021-06-15,2021-01-01
PROMO_56a3,CMP_56a3be19-a18b-4f33-aafd-36339294bf53,Rainy Season Voucher,Voucher Code,RAINY2021,2021-06-27,2021-07-15,2021-01-01
PROMO_06ac,CMP_06ac42b9-dcb1-490c-8b23-51f30fe938ef,Sleep Better Bundle,Bundle Offer,SLEEP2021,2021-07-27,2021-08-15,2021-01-01
PROMO_ccc4,CMP_ccc4567d-a235-40fb-a2b7-edb9a44ca1ff,Student Savings Offer,Fixed Discount,SCHOOL2021,2021-08-27,2021-09-15,2021-01-01
PROMO_28ce,CMP_28cec512-94d0-4f4a-9cd5-f0882a3a1820,10.10 Flash Sale,Flash Sale,10102021,2021-09-27,2021-10-15,2021-01-01
PROMO_ba3a,CMP_ba3ae8a2-2822-42f0-9d6a-a5ed9b1ee036,11.11 Mega Discount,Percentage Discount,11112021,2021-10-27,2021-11-15,2021-01-01
PROMO_acd0,CMP_acd024c0-be5a-4728-bb98-da00695b808e,Holiday Bundle Offer,Bundle Offer,HOLIDAY2021,2021-11-27,2021-12-15,2021-01-01
PROMO_1e64,CMP_1e64a487-b687-44da-aa6b-556fc7b41dde,New Year Mattress Discount,Percentage Discount,NEWYEAR2022,2022-12-27,2023-01-15,2022-01-01
